ACCESSION_NUMBER	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	PHONENUMBER	CONNECTIONNAME	INDUSTRYGROUP	CASHEQUIVALENTS	INVESTMENTSECURITIES	TOTALINVESTMENTS	ACCOUNTSRECEIVABLE	LOANS	PROPERTYPLANTEQUIPMENT	PROPERTYANDEQUIPMENT	TOTALASSETS	ACCOUNTSPAYABLE	POLICYLIABILITIESANDACCRUALS	DEPOSITS	LONGTERMDEBT	TOTALLIABILITIES	TOTALSTOCKHOLDEREQUITY	TOTALLIABILITIESANDEQUITY	TOTALREVENUES	TOTALINTERESTINCOME	COSTANDEXPENSESAPPLTOREVENUES	TOTALINTERESTEXPENSES	DEPRECIATIONANDAMORTIZATION	NETINCOME	EARNINGSPERSHAREBASIC	EARNINGSPERSHAREDILUTED	NAMEAUDITOR	CERTIFYIFTRUE	CERTIFYIFNOTDISQUALIFIED	CERTIFYIFBADACTOR	JURISDICTIONSOFSECOFFEREDNONE	JURISDICTIONSOFSECOFFEREDSAME	IFUNREGSITEREDNONE	SECURITIESACTEXCEMPTION
0001078782-19-000249	300 ARAGON AVENUE SUITE 375		CORAL GABLES	FL	33134	954-951-8191	Scott Doney	Other	18067.0	0.0		2135111.0		283733.0		2436911.0	2285280.0			91587.0	2376867.0	60044.0	2436911.0	3794539.0		3709311.0		18450.0	-503595.0	-0.03	-0.03	Boyle CPA LLC	true	true	false	true	false	false	Section 4(a)(2) and/or Rule 506(b).
0001760319-19-000006	3699 WILSHIRE BLVD	SUITE 610	LOS ANGELES	CA	90010	3108951839	Frank Igwealor	Other	1393.0	0.0		0.0		0.0		1393.0	2400.0			9038.0	11438.0	-10045.0	1393.0	0.0		30154.0		0.0	-30154.0	0.0	0.0	MICHAEL J HADZIPANAJOTIS, CPA	true	true	false	false	true	false	The issuance of the 7,700,000 exchange shares of Common Stock is exempted from registration under Section 4(a)(2) of Securities
0001144204-19-016178	75 Fifth Street, NW	Suite 2170	ATLANTA	GA	30308	404-850-9225	Nick Bhargava	Other	921594.0	0.0		20120085.0		433452.0		21507228.0	16872490.0			0.0	22787493.0	-1280265.0	21507228.0	804936.0		117587.0		102471.0	-1976473.0	-1.75	-1.75	Hughes Pittman and Gupton LLP	true	true		true			Regulation A, Rule 506 of Regulation D, and Rule 506 of Regulation D, respectively.
0001437749-19-005758	1000 CENTRE AVE, SUITE 120		FORT COLLINS	CO	80526	970-282-0156	Brett Hanson	Other	919839.0	0.0		7425234.0		1951435.0		18769975.0	4030855.0			18971472.0	32731292.0	-13961317.0	18769975.0	546.0		80279.0		1588987.0	-4496800.0	-2.4	-2.39	Interim is unaudited	true	true	false	true	false	false	Private placement per Reg. D/Rule 506.
0001477932-19-001196	2155 Woodlane Drive	Ste 102	Woodbury	MN	55125	651-337-4799	Jillian Sidoti	Other	1498306.0	0.0		0.0		0.0		1773042.0	0.0			0.0	0.0	1773042.0	1773042.0	0.0		838666.0		0.0	838666.0	0.0	0.0	Baker Tilly	true	true	false	true		false	180,131 Preferred Shares were sold pursuant Rule 506(c). 2,500,000 Class A Common Shares were sold pursuant to Rule 506(b). 1,500,000 Class B Common Shares were sold officers and insiders were sold pursuant to 4(2).
0001144204-19-016032	2738 FALKENBURG RD. S.		RIVERVIEW	FL	33578	813-621-5000	Jamie Ostrow	Other	180.0	0.0		0.0		0.0		3513.0	65655.0			0.0	65655.0	-62142.0	3513.0	0.0		0.0		0.0	0.0	0.0	0.0	IndigoSpires CPA Group, LLC	true	true		true			Section 4(a)(2) of the Securities Act
0001104659-19-017475	10780 Santa Monica Blvd.	Suite 140	Los Angeles	CA	90025	310-907-7144	Lauren B. Prevost	Other	1312851.0	0.0		43447375.0		0.0		47470816.0	332241.0			0.0	544585.0	46926232.0	47470816.0	403710.0		14677.0		0.0	389037.0	0.0	0.0	CohnReznick LLP	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001683168-19-000774	20 E. THOMAS ROAD, SUITE 2200		PHOENIX	AZ	85012	602-502-0602	John E. Lux, Esq.	Other	0.0	0.0		0.0		0.0		0.0	845887.0			4498104.0	6087729.0	-6087729.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0		true	true		true		true	
0001477932-19-001151	2155 Woodlane Drive	Ste 102	Woodbury	MN	55125	651-337-4799	Jillian Sidoti	Other	1498306.0	0.0		0.0		0.0		1773042.0	0.0			0.0	0.0	1773042.0	1773042.0	0.0		838666.0		0.0	838666.0	0.0	0.0	Baker Tilly	true	true	false	true		false	180,131 Preferred Shares were sold pursuant Rule 506(c). 2,500,000 Class A Common Shares were sold pursuant to Rule 506(b). 1,500,000 Class B Common Shares were sold officers and insiders were sold pursuant to 4(2).
0001758868-19-000002	8 The Green, STE A		Dover	DE	19901	3125619790	Robert Werner	Other	0.0	0.0		0.0		0.0		2248.0	3258.0			0.0	3258.0	-1015.0	2248.0	0.0		0.0		0.0	-1015.0	0.0	0.0		true	true	false	false	true	true	
0001213900-19-004701	6930 Carroll Avenue	Suite 432	Takoma Park	MD	20912	301-452-8111	Neal Holtz	Other	3418.0	0.0		0.0		3451.0		6869.0	1251.0			5406.0	122913.0	-116044.0	6869.0	0.0		0.0		0.0	-56262.0	0.0	0.0	SADLER, GIBB & ASSOCIATES, LLC	true	true		true			4(a)(2)
0001376474-19-000053	ONE STEUBEN SQUARE		HORNELL	NY	14843-1699	607-324-5010	Helen A. Zamboni	Banking	8378000.0	180323000.0			338387000.0		6411000.0	551105000.0	5536000.0		462024000.0	2062000.0	492622000.0	58483000.0	551105000.0		21521000.0		2337000.0	482000.0	6902000.0	4.12	4.11	Crowe LLP	true	true	false	true	false	true	
0001393905-19-000084	7660-H FAY AVENUE	#359	LA JOLLA	CA	92037	858-265-9347	Brent Willson	Other	55070.0	0.0		0.0		0.0		55070.0	20508.0			104698.0	125206.0	-70136.0	55070.0	0.0		100095.0		0.0	-101791.0	-0.97	-0.97	MaloneBailey, LLP	true	true	false	false	true	false	Section 4(a)(2); Rule 506 of Regulation D
0001765320-19-000002	47123 Michel Road		Ronan	MT	59864	4062140589	Eric Newlan	Other	37662.0	0.0		5000.0		0.0		42662.0	0.0			0.0	0.0	42662.0	42662.0	0.0		138.0		0.0	-138.0	0.0	0.0	Cashuk, Wiseman, Goldberg, Birnbaum & Salem, LLP	true	true	false	true	false	false	SECTION 4(A)(2); SECTION 4(A)(2); RULE 506
0001683168-19-000742	523 US Highway 41 South		INVERNESS	FL	34450	352-765-3850	John E. Lux, Esq.	Other	101849.0	0.0		0.0		285062.0		386911.0	143410.0			255847.0	399257.0	-12346.0	386911.0	0.0		479893.0		5625.0	-505670.0	0.0	0.0	Assurance Dimensions	true	true		true			Exempt from registration under Section 4(2) Securities Act and Rules promulgated thereunder.
0001144204-19-015156	1801 CENTURY PARK EAST 24TH FLOOR		LOS ANGELES	CA	90067	510-459-7894	Jamie Ostrow	Other	220173.0	0.0		255120.0		23579.0		962455.0	181958.0			0.0	182141.0	780314.0	962455.0	18676.0		13018.0		4840.0	-1096866.0	-0.52	-0.52	Artesian CPA, LLC	true	true		true			Regulation CF under Section 4(a)(6)
0001615774-19-004280	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-004278	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-004276	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-004275	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-004272	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-004270	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-004269	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-004267	450 Main Street	Unit 1715	Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-004266	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-004263	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-004261	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-004260	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001144204-19-014909	20C Trolley Square		Wilmington	DE	19806	844-843-7296	Massimo Barone, CEO	Other	417.0	0.0		35000.0		0.0		769880.0	1454612.0			0.0	3785310.0	-3015430.0	769880.0	28581.0		117557.0		0.0	446728.0	0.0	0.0	Maillie LLP.	true	true	true		true	true	
0001213900-19-004466	124 Main Street		Delhi	NY	13753	855-413-3544	Abby E. Brown, Esq.	Banking	7680.0	99644.0			173681.0		3465.0	295203.0	3893.0		263369.0	186.0	267543.0	27660.0	295203.0		9511.0		1337.0	987.0	2408.0	1.56	1.56	Baker Tilly Virchow Krause, LLP	true	true		true			Exempt offering under Regulation A pursuant to a qualified offering statement dated March 15, 2018.
0001493152-19-003562	SPRING PLACE, 6 ST JOHNS LANE	7th FLOOR	NEW YORK	NY	10013	203-518-5172	LAURA ANTHONY	Other	100.0	0.0		0.0		0.0		100.0	0.0			0.0	0.0	100.0	100.0	0.0		0.0		0.0	0.0	0.0	0.0	Mayer Hoffman McCann, P.C.	true	true			true		The foregoing issuances were pursuant to Section 4(a)(2) of the Securities Act of 1933, as amended, for transactions by an issuer not involving any public offering.
0001144204-19-014672	75 Fifth Street, NW	Suite 2170	ATLANTA	GA	30308	404-850-9225	Nick Bhargava	Other	921594.0	0.0		20120085.0		433452.0		21507228.0	16872490.0			0.0	22787493.0	-1280265.0	21507228.0	804936.0		117587.0		102471.0	-1976473.0	-1.75	-1.75	Hughes Pittman and Gupton LLP	true	true		true			Regulation A, Rule 506 of Regulation D, and Rule 506 of Regulation D, respectively.
0001213900-19-004381	7582 LAS VEGAS BLVD.		LAS VEGAS	NV	89123	702-721-9915	Mr. Darryl Payne	Other	489.0	0.0		0.0		0.0		489.0	88124.0			0.0	88124.0	-87635.0	489.0	0.0		0.0		0.0	-368331.0	-0.02	-0.02	AJ Robbins CPA, LLC	true	true			true		The issuances of the shares were made in reliance on the exemption from registration provided in Section 4(a)(2) of the Securities Act for transactions not involving any public offering.
0001615774-19-004155	12465 South Fort St	suite 240	Draper	UT	84020	941-225-6699	John Brannelly, Attorney	Other	91810.0	0.0		0.0		0.0		91810.0	7705.0			0.0	68030.0	23780.0	91810.0	0.0		171220.0		0.0	171220.0	0.02	0.02	MaloneBailey, LLP	true	true	false	false	true	false	Jobs act, rule 506 and Regulation D
0001117768-19-000152	12411 Poway Road		Poway	CA	92064	760-916-7444	Matheau J. W. Stout, Esq.	Other	57335.0	0.0		98107.0		295557.0		10446644.0	449244.0			750053.0	1199297.0	9247347.0	10446644.0	2961579.0		3079502.0		120721.0	0.0	0.0	0.0	NONE	true	true	false			false	Rule 144 and/or Section 4(a)(2) of the Securities Act of 1933
0001683168-19-000661	78 READE STREET, SUITE 4FW		NEW YORK	NY	10007	212-349-7068	William Eilers	Other	286787.0	0.0		169478.0		1982045.0		2771310.0	3172092.0			1683.0	3173775.0	-402465.0	2771310.0	0.0		0.0		0.0	-1588806.0	0.0	0.0		true	true			true	true	
0001144204-19-013755	53 BRIDGE STREET UNIT 507		BROOKLYN	NY	11251	718-576-3205	Andrew Stephenson	Other	922108.0	0.0		0.0		0.0		1184254.0	2352.28			180000.0	2575280.0	1391026.0	1184254.0	0.0		0.0		30957.0	-712268.0	-0.28	-0.28	Fruci and Associates II, PLLC	true	true			true		Rule 506(c) of Regulation D
0001683168-19-000639	523 S. HIGHWAY 41		INVERNESS	FL	34450	352-765-3850	John E. Lux, Esq.	Other	101849.0	0.0		0.0		285062.0		386911.0	143410.0			255847.0	399257.0	-12346.0	386911.0	0.0		479893.0		5625.0	-505670.0	0.0	0.0	Assurance Dimensions	true	true		true			Exempt from registration under Section 4(2) Securities Act and Rules promulgated thereunder.
0001615774-19-004000	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-003979	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001437749-19-004703	1000 CENTRE AVE, SUITE 120		FORT COLLINS	CO	80526	970-282-0156	Brett Hanson	Other	919839.0	0.0		7425234.0		1951435.0		18769975.0	4030855.0			8971472.0	32731292.0	-13961317.0	18769975.0	546.0		80279.0		1588987.0	-4496800.0	-2.4	-2.39	Interim is unaudited	true	true	false	true	false	false	Private placement per Reg. D/Rule 506.
0001721868-19-000107	24 FLAMINGO RUN		ROSLYN	NY	11576	515-637-4061	Steve Berman	Other	117285.0	0.0		4851862.0		0.0		8114147.0	2726056.0			2000000.0	4726056.0	3388091.0	8114147.0	4551116.0		2822199.0		0.0	1619050.0	0.0	0.0		true	true		true		true	
0001144204-19-013333	1601 Connecticut Avenue NW	Suite 300	WASHINGTON	DC	20009	202-584-0550	Bjorn Hall	Other	5000.0	0.0		0.0		0.0		5000.0	0.0			0.0	0.0	5000.0	5000.0	0.0		0.0		0.0	0.0	0.0	0.0	RSM US LLP	true	true		true			Rise Companies Corp. has purchased 500 common shares for a purchase price of $5,000 in a private offering. Such issuance was exempt from the registration requirements of the Securities Act pursuant to Section 4(a)(2) thereof.
0001144204-19-013332	1601 Connecticut Avenue NW	Suite 300	WASHINGTON	DC	20009	202-584-0550	Bjorn Hall	Other	5000.0	0.0		0.0		0.0		5000.0	0.0			0.0	0.0	5000.0	5000.0	0.0		0.0		0.0	0.0	0.0	0.0	RSM US LLP	true	true		true			Rise Companies Corp. has purchased 500 common shares for a purchase price of $5,000 in a private offering. Such issuance was exempt from the registration requirements of the Securities Act pursuant to Section 4(a)(2) thereof.
0001393905-19-000072	7660-H FAY AVENUE	#359	LA JOLLA	CA	92037	858-265-9347	Brent Willson	Other	55070.0	0.0		0.0		0.0		55070.0	20508.0			104698.0	125206.0	-70136.0	55070.0	0.0		100095.0		0.0	-101791.0	-0.97	-0.97	MaloneBailey, LLP	true	true	false	false	true	false	Section 4(a)(2); Rule 506 of Regulation D
0001615774-19-003876	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-003872	450 Main Street	Unit 1715	Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-003869	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001214659-19-002011	80 WEST SIERRA BOULEVARD	#141	SIERRA MADRE	CA	91024	626-355-1049	Benjamin Feldman, FGRB, PLLC	Other	4136.0	0.0		0.0		0.0		4136.0	1256.0			0.0	1256.0	2880.0	4136.0	0.0		5117.0		0.0	-5917.0	0.0	0.0	Cashuk, Wiseman, Goldberg, Birnbaum & Salem, LLP	true	true			true	true	
0001615774-19-003791	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-003754	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001213900-19-003728	300 South Orange Ave, Suite 1000		Orlando	FL	32801	407-378-6868	Markley Roderick	Other	0.0	0.0		0.0		0.0		81533.0	83273.0			0.0	83273.0	1740.0	81533.0	0.0		0.0		0.0	0.0	0.0	0.0	NONE	true	true		true		true	
0001144204-19-012709	750 N. SAN VICENTE BLVD	SUITE 800	WEST HOLLYWOOD	CA	90069	800-317-2200	Jamie Ostrow	Other	807657.0	2387097.0		545747.0		5716.0		4466230.0	629789.0			0.0	1142227.0	3324003.0	4466230.0	2421061.0		1150009.0		1289.0	-1806632.0	-0.25	-0.25	dbbmckennon	true	true		true			Regulation D under the Securities Act
0001615774-19-003726	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-003723	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001615774-19-003721	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001445866-19-000214	2090 N. KOLB ROAD, STE 120.		TUCSON	AZ	85715	888-444-2102	J Martin Tate	Banking	0.0	0.0			81893.0		0.0	81893.0	20017.0		0.0	85051.0	105068.0	-23085.0	81893.0		0.0		0.0	0.0	23085.0	23085.0	0.0	dbbmckennon	true	true	false	false	true	false	506(b)
0001144204-19-012639	75 Fifth Street, NW	Suite 2170	ATLANTA	GA	30308	404-850-9225	Nick Bhargava	Other	921594.0	0.0		20120085.0		433452.0		21507228.0	16872490.0			0.0	22787493.0	-1280265.0	21507228.0	804936.0		117587.0		102471.0	-1976473.0	-1.75	-1.75	Hughes Pittman and Gupton LLP	true	true		true			Regulation A, Rule 506 of Regulation D, and Rule 506 of Regulation D, respectively.
0001144204-19-012509	2738 FALKENBURG RD. S.		RIVERVIEW	FL	33578	813-621-5000	Jamie Ostrow	Other	180.0	0.0		0.0		0.0		3513.0	65655.0			0.0	65655.0	-62142.0	3513.0	0.0		0.0		0.0	0.0	0.0	0.0	IndigoSpires CPA Group, LLC	true	true		true			Section 4(a)(2) of the Securities Act
0001213900-19-003635	228 Park Avenue South #67157		New York	NY	10003	844-736-7531	Paul Birkett	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	Artesian CPA, LLC	true	true		true		true	
0001761911-19-000001	418 Broadway		Albany	NY	12207	1-518-396-5853	Andy Altahawi	Other	24784.0	574.0		18082.0		655204.0		698645.0	42400.0			70498.0	112898.0	585477.0	698645.0	174113.0		186454.0		107992.0	-303180.0	0.0	0.0	IndigoSpire CPA Group, LLC	true	true	false	false	true	false	Class A stock Exempt from registration under Rule 506(c) of the Securities Act. Class B stock under Section 4(a)(2).
0001615774-19-003669	450 Main Street Unit 1715		Park City	UT	84060	833-326-3342	Jeffrey S. Marks	Other	0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	N/A	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
