ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0001763363-19-000003	101	HGI Opportunity Fund XIII, LP	Thomas Richard Litton, Jr	Thomas Richard Litton, Jr	Manager of HGI Opportunity Fund XIII GP, LLC	2019-03-29
0001636137-19-000001	101	Union Square Park Partners, LP	Leon Zaltzman	Leon Zaltzman	Managing Member of Union Square Park GP, LLC	2019-03-29
0001014108-19-000067	101	Maxus Opportunity Fund I, LLC	/s/Ryan Snyder	Ryan Snyder	Chief Financial Officer	2019-03-28
0000905718-19-000303	101	Harraden Circle Investors, LP	/s/Frederick V. Fortmiller, Jr	Frederick V. Fortmiller, Jr.	Managing Member of the GP of the General Partner	2019-03-29
0001390066-19-000002	101	Regent Street Secondary RV-II 2018-1, LLC	/s/ Tim M. Dean	Tim M. Dean	CFO of Manager	2019-03-29
0000905718-19-000301	101	Bayberry Offshore Ltd	/s/ Angela Aldrich	Angela Aldrich	Principal	2019-03-29
0001062993-19-001470	101	SDA Holding Corp.	/s/ Robert L. Jenkins	Robert L. Jenkins	Secretary and Treasurer	2019-03-29
0001770240-19-000001	101	Tech Pioneers Fund, L.P.	/s/ Robert J. Chicoski	Robert J. Chicoski	Managing Member of the General Partner	2019-03-29
0000905718-19-000299	101	Bayberry Onshore Fund LP	/s/ Angela Aldrich	Angela Aldrich	Principal	2019-03-29
0001390066-19-000001	101	PHASE CHANGE SOFTWARE LLC	/s/ Gary Brach	Gary Brach	President	2019-03-29
0001772298-19-000001	101	Larimer County Energy Fund LP	James R. Young	James R. Young	President of Managing Partner	2019-03-29
0001672619-19-000001	101	IMARA Inc.	/s/ Rahul Ballal	Rahul Ballal	Chief Executive Officer	2019-03-29
0001771994-19-000001	101	BIOCEPT INC	/s/ Timothy Kennedy	Timothy Kennedy	Chief Financial Officer	2019-03-29
0001741454-19-000001	101	Lonerider Spirits, LLC	/Chris Mielke/	Chris Mielke	President	2019-03-29
0001772333-19-000002	101	Valley Premier Storage, LLC	Tae Kim	Tae Kim	Attorney	2019-03-29
0001769252-19-000001	101	Navitas Capital Co-Invest II-B, L.P.	/s/ Jim Pettit	Jim Pettit	Manager of the General Partner of the Issuer	2019-03-29
0001700209-19-000001	101	BQS LIVING INCOME STRATEGY LP	J. Paul Austin, III	J. Paul Austin, III	Manager of General Partner	2019-03-29
0001080368-19-000012	101	Troy Health, Inc.	/Flaviu Simihaian/	Flaviu Simihaian	CEO	2019-03-29
0001737854-19-000001	101	TPG Tech Adjacencies, L.P.	/s/ Adam Fliss	Adam Fliss	Vice President of the GP of the Issuer's GP	2019-03-29
0001655049-19-000001	101	MyPizza Technologies, Inc.	/s/ Ilir Sela	Ilir Sela	CEO	2019-03-29
0001772160-19-000002	101	High River Resources, LLC	/s/ Robert C. Vaughn, Jr.	Robert C. Vaughn, Jr.	Managing Director & President of Issuer	2019-03-29
0001709496-19-000007	101	Disciplined Alpha Master Fund, L.P.	Kevin W. Shea	Kevin W. Shea	Managing Member of the General Partner of the Issuer	2019-03-29
0001771530-19-000006	101	Green Nonce Capital, LLC	Shyam Kamadolli	Shyam Kamadolli	Managing Member, Green Nonce Management Co, Advisor to Filer	2019-03-29
0001602050-19-000001	101	Global Key Fund I, LP	Robert M Sigler	Robert M. Sigler	CEO of General Partner	2019-03-29
0001757935-19-000002	101	ion Global, Inc.	Kerry Schlossberg	Kerry Schlossberg	Attorney of Record	2019-03-29
0001709496-19-000006	101	Disciplined Alpha Offshore Fund Ltd.	Kevin W. Shea	Kevin W. Shea	Director of the Issuer	2019-03-29
0001690256-19-000001	101	TADA Cognitive Solutions LLC	James Cominsky	James Comisky	CFO	2019-03-29
0001771530-19-000005	101	Green Nonce Capital, LLC	Shyam Kamadolli	Shyam Kamadolli	Managing Member, Green Nonce Management Co, Advisor to Filer	2019-03-29
0001771890-19-000001	101	Buttonwood Beacon QP Fund LLC Series C-1	/S/ STEPHAN A. STEIN	Stephan A. Stein	Mgr of sole mbr of Manager	2019-03-27
0000902664-19-001714	101	Covalis Capital Fund Ltd	/s/ Matt Auriemma	Matt Auriemma	Director	2019-03-29
0001771977-19-000001	101	DLC Mortgages, LLC	/s/ Tony Yu	Tony Yu	Chief Financial Officer of its Manager	2019-03-29
0001771705-19-000001	101	Vistria Fund III (FT), LP	THOMAS DUFFY	THOMAS DUFFY	MANAGING DIRECTOR	2019-03-29
0001770845-19-000001	101	Source Code Venture Fund IV L.P.	/s/ Cao Yi	Cao Yi	Director of General Partner of General Partner of Issuer	2019-03-29
0001771712-19-000001	101	Vistria Fund III, LP	THOMAS DUFFY	THOMAS DUFFY	MANAGING DIRECTOR	2019-03-29
0001771586-19-000001	101	User Interviews, Inc.	/s/ Basel Fakhoury	Basel Fakhoury	Chief Executive Officer	2019-03-26
0001771802-19-000001	101	GUARDIAN DFH II, LLC	/s/ DENNIS CISTERNA III	DENNIS CISTERNA III	MEMBER OF THE MANAGER OF GUARDIAN DFH II GP, LLC ITS MANAGER	2019-03-06
0001066867-19-000001	101	PAR INVESTMENT PARTNERS LP	/s/Steven M. Smith	Steven M. Smith	Chief Operating Officer of GP of General Partner of Issuer	2019-03-29
0001693011-19-000001	101	Inozyme Pharma, Inc.	/s/ Axel Bolte	Axel Bolte	Chief Executive Officer	2019-03-29
0001770226-19-000001	101	MAP Capital Management, LLC	Prashant Patel	Prashant Patel	Manager	2019-03-20
0001770844-19-000001	101	Source Code Growth Fund I L.P.	/s/ Cao Yi	Cao Yi	Director of General Partner of General Partner of Issuer	2019-03-29
0001598391-19-000001	101	Arrow Holding Corp.	/s/ Ryan Hobbs	Ryan Hobbs	Chief Financial Officer	2019-03-29
0001771939-19-000001	101	ReadySet Surgical, Inc.	/s/ Keerthi Kanubaddi	Keerthi Kanubaddi	CEO	2019-03-29
0001765348-19-000003	101	Invisalert Solutions, Inc.	/s/ Pete Nagy	Pete Nagy	President & Chief Executive Officer	2019-03-29
0001709496-19-000005	101	Disciplined Alpha Onshore Fund LP	Kevin W. Shea	Kevin W. Shea	Managing Member of the General Partner of the Issuer	2019-03-29
0000943663-19-000098	101	Sandalwood Special Credit Opportunities Fund, L.P.	/s/ Thomas Oswald	Thomas Oswald	Compliance Officer	2019-03-28
0001772027-19-000004	101	ENVOY POWER INC.	Matthew Shepard	Matthew Shepard	President	2019-03-29
0001709496-19-000004	101	Disciplined Alpha TMT Select Master Fund LP	Kevin W. Shea	Kevin W. Shea	Manager of the General Partner of the Issuer	2019-03-29
0001772088-19-000001	101	Ophirex, Inc.	/s/ Nancy Koch	Nancy Koch	CEO	2019-03-29
0000943663-19-000097	101	SANDALWOOD OVERSEAS FUND SPC LTD	/s/ Thomas Oswald	Thomas Oswald	Compliance Officer	2019-03-28
0000943663-19-000096	101	SANDALWOOD LONG/SHORT FUND LP	/s/ Thomas Oswald	Thomas Oswald	Compliance Officer	2019-03-28
0001764765-19-000001	101	FPC SMALL CAP FUND II-A, L.P.	/S/ BROOKE W. ABLON	BROOKE W. ABLON	MANAGER OF THE GP OF THE GP OF THE ISSUER	2019-03-29
0000943663-19-000095	101	SANDALWOOD DEBT TRADERS FUND, L.P.	/s/ Thomas Oswald	Thomas Oswald	Compliance Officer	2019-03-28
0001709496-19-000003	101	Disciplined Alpha TMT Select Onshore Fund LP	Kevin W. Shea	Kevin W. Shea	Manager of the General Partner of the Issuer	2019-03-29
0001764764-19-000001	101	FPC SMALL CAP FUND II, L.P.	/S/ BROOKE W. ABLON	BROOKE W. ABLON	MANAGER OF THE GP OF THE GP OF THE ISSUER	2019-03-29
0001771758-19-000001	101	CSC Texas Portfolio, LLC	/Nathaniel Huckel-Bauer/	Nathaniel Huckel-Bauer	Corporate Secretary	2019-03-29
0000943663-19-000094	101	SANDALWOOD DEBT TRADERS FUND (QP) LP	/s/ Thomas Oswald	Thomas Oswald	Compliance Officer	2019-03-28
0001768983-19-000001	101	Paramount Realty Shopping Center Fund IV LP	Maurice Zekaria	Maurice Zekaria	Managing Member of General Partner	2019-03-28
0000943663-19-000093	101	SANDALWOOD DEBT FUND B, L.P.	/s/ Thomas Oswald	Thomas Oswald	Compliance Officer	2019-03-28
0000945621-19-000142	101	VERDIS OPPORTUNISTIC GLOBAL EQUITY PARTNERS, L.P.	/s/ Kevin Gaffey	Kevin Gaffey	Chief Compliance Officer	2019-03-25
0001771919-19-000001	101	PROJECT JOURNEY INC.	/s/ Jospeh T. Brereton	Joseph Timothy Brereton	President	2019-03-29
0001707580-19-000001	101	Hyalex Orthopaedics, Inc.	/s/ Mira Sahney	Mira Sahney	Chief Executive Officer and President	2019-03-29
0000943663-19-000092	101	SANDALWOOD DEBT FUND A, L.P.	/s/ Thomas Oswald	Thomas Oswald	Compliance Officer	2019-03-28
0001771966-19-000001	101	Haniva Technology LLC	s/ Shoshanna Zucker	Shoshanna Zucker	CEO	2019-03-29
0000943663-19-000091	101	Oxbridge Partners, L.P.	/s/ Thomas Oswald	Thomas Oswald	Compliance Officer	2019-03-28
0001758900-19-000003	101	Palms @ Morada DST	Jon A. Wood	Jon A. Wood	Manager of the Co-Manager of the Signatory Trustee of Issuer	2019-03-25
0001772135-19-000001	101	Utopia Broadway LLC	Patrick Catullo	Patrick Catullo	Managing member of managing member of issuer	2019-03-29
0001697939-19-000002	101	X3EM Brands LLC	Lisa Palmer	Lisa Palmer	Manager	2019-03-29
0001748624-19-000003	101	Pivot Holdings III LLC	Akbar A. Poonawala	Akbar A. Poonawala	Director of Pivot Investment Partners LLC, Manager of Issuer	2019-03-29
0000943663-19-000090	101	BODLEIAN PARTNERS B, L.P.	/s/ Thomas Oswald	Thomas Oswald	Compliance Officer	2019-03-28
0001702171-19-000001	101	Cape May Investments LP	Andrew M. Weiss	Andrew M. Weiss	President of the General Partner of the Issuer	2019-03-29
0001642987-19-000001	101	Teak Hill Indus Fund	/s/Varkki Chacko	Varkki Chacko	Managing Principal of the Issuer	2019-03-01
0000943663-19-000089	101	Bodleian Partners A, L.P.	/s/ Thomas Oswald	Thomas Oswald	Compliance Officer	2019-03-28
0001567619-19-007823	101	KB Tri-City II DST	/s/ Michael Stubben	Michael Stubben	Authorized Signatory	2019-03-29
0001685732-19-000001	101	LIMITLESS COFFEE, LLC	MATTHEW R. MATROS	MATTHEW R. MATROS	MANAGER OF MANAGER	2019-03-29
0001385865-19-000001	101	Teak Hill Fund LP	/s/ Varkki Chacko	Varkki Chacko	Managing Principal of the Issuer	2019-03-01
0001144204-19-016921	101	Cash Value Fund, LP	/s/ Kirk Stafford	Kirk Stafford	President and CEO of the Investment Manager to the Issuer	2019-03-28
0001771797-19-000001	101	Valley Republic Bancorp	Stephen M. Annis	Stephen M. Annis	EVP and Chief Financial Officer	2019-03-29
0000945621-19-000141	101	Innovatus Flagship Offshore Fund I, LP	/s/ Andrew Hobson	Andrew Hobson	Authorized Signatory	2019-03-28
0001772291-19-000001	101	Relik Lake Jackson LLC	David Utley	David Utley	Attorney In Fact	2019-03-29
0000945621-19-000140	101	Innovatus Flagship Fund I, LP	/s/ Andrew Hobson	Andrew Hobson	Authorized Signatory	2019-03-28
0001772215-19-000002	101	Pontifex Capital Fund I LLC	/David Arkoosh/	David Arkoosh	Attorney	2019-03-29
0000945621-19-000139	101	Innovatus Life Sciences Offshore Fund I, LP	/s/ Andrew Hobson	Andrew Hobson	Authorized Signatory	2019-03-28
0000945621-19-000138	101	Innovatus Life Sciences Lending Fund I, LP	/s/ Andrew Hobson	Andrew Hobson	Authorized Signatory	2019-03-28
0000945621-19-000137	101	Innovatus Structured Credit Real Estate Offshore Fund I, LP	/s/ Andrew Hobson	Andrew Hobson	Authorized Signatory	2019-03-28
0000945621-19-000136	101	Innovatus Structured Credit Real Estate Fund I, LP	/s/ Andrew Hobson	Andrew Hobson	Authorized Signatory	2019-03-28
0000943663-19-000088	101	EnTrustPermal Structured Income Fund II-A Ltd.	/s/ Bruce Kahne	Bruce Kahne	Authorized Person of the IA	2019-03-29
0001772285-19-000002	101	BRC LEGACY FUND LP	Colin Behring	Colin Behring	Executive Director	2019-03-29
0001634258-19-000001	101	Javelin Venture Partners I SPV II, LLC	/s/ Noah Doyle	Noah Doyle	Managing Director of General Partner of Manager of Issuer	2019-03-29
0000943663-19-000087	101	EnTrustPermal Special Opportunities Fund IV Ltd	/s/ Bruce Kahne	Bruce Kahne	Authorized Signatory	2019-03-29
0001771980-19-000001	101	Javelin Venture Partners I SPV II-A, LLC	/s/ Noah Doyle	Noah Doyle	Managing Director of General Partner of Manager of Issuer	2019-03-29
0000943663-19-000086	101	EnTrustPermal Special Opportunities Fund IV LP	/s/ Bruce Kahne	Bruce Kahne	Authorized Signatory	2019-03-29
0001772215-19-000001	101	VR Health Network Inc.	/David Arkoosh/	David Arkoosh	Attorney	2019-03-29
0000943663-19-000085	101	EnTrust Structured Income Fund II Ltd.	/s/ Bruce Kahne	Bruce Kahne	Authorized Person of the Advisor	2019-03-29
0000935836-19-000206	101	Halley Venture Fund II LP	Steven J. Schuman	Steven J. Schuman	Manager of Halley Venture Partners LLC, General Partner	2019-03-29
0001561180-19-000008	101	PETROTEQ ENERGY INC.	/s/ Alex Blyumkin	Alex Blyumkin	Executive Chairman	2019-03-28
0000943663-19-000084	101	EnTrust Structured Income Fund I Ltd.	/s/ Bruce Kahne	Bruce Kahne	Authorized Person of the Advisor	2019-03-29
0001772085-19-000003	101	LYXOR SELECTIVE OPPORTUNITIES PROGRAM SPC - LYXSOP SEGREGATED PORTFOLIO 4	/s/ David I. Held	David Held	Chief Compliance Officer	2019-03-29
0001772086-19-000001	101	Javelin Venture Partners II SPV I, LLC	/s/ Noah Doyle	Noah Doyle	Managing Director of the Manager of the Issuer	2019-03-29
0001736368-19-000001	101	Blue Vista Real Estate Partners V-C, LLC	/s/ Laurie Smith	Laurie Smith	President and CEO	2019-03-29
0001772104-19-000001	101	San Diego Forensic Psychology Corp	Shanda Angioli	Shanda Angioli	President	2019-03-29
0001772032-19-000002	101	Tier3D, Inc.	Shalender Singh	Shalender Singh	CEO	2019-03-29
0000943663-19-000083	101	EnTrust Special Opportunities Fund III LTD.	/s/ Bruce Kahne	Bruce Kahne	Authorized Signatory	2019-03-29
0001736370-19-000001	101	Blue Vista Real Estate Partners V (TE), L.P.	/s/ Laurie Smith	Laurie Smith	President and CEO	2019-03-29
0001720704-19-000002	101	Javelin Venture Partners III SPV I, LLC	/s/ Noah Doyle	Noah Doyle	Managing Director of the Manager of the Issuer	2019-03-29
0001772218-19-000002	101	Invesco Fixed Income Trust - Invesco Constrained Core Fixed Income Fund	/s/Leslie A. Schmidt	Leslie A. Schmidt	President	2019-03-01
0001772032-19-000001	101	Tier3D, Inc.	Shalender Singh	Shalender Singh	CEO	2019-03-29
0001772223-19-000001	101	Intrepid Value Fund Offshore Ltd.	Usman Farooqui	Usman Farooqui	Director	2019-03-29
0001601886-19-000003	101	Steel Canyon ST 2008, LLC	Brett D. Huckelbridge	Brett D. Huckelbridge	Manager of Steel Canyon Investments, LLC, Managing Member	2019-03-29
0000943663-19-000082	101	EnTrust Special Opportunities Fund III LP	/s/ Bruce Kahne	Bruce Kahne	Authorized Signatory	2019-03-29
0001770266-19-000002	101	OPC Technology Ventures, LLC	Jeffrey McCourt	Jeffrey McCourt	Chief Financial Officer	2019-03-26
0001764924-19-000002	101	Blue Vista Real Estate Partners V, L.P.	/s/ Laurie Smith	Laurie Smith	President and CEO of the General Partner of the Issuer	2019-03-29
0001769920-19-000001	101	SOS CO-INVESTMENT VEHICLE, L.P.	/S/ MICHAEL J. MCCONVERY	MICHAEL J. MCCONVERY	VP & ASSISTANT SECRETARY OF MANAGING MEMBER OF GP OF ISSUER	2019-03-29
0001772279-19-000001	101	MV Fund II QP, L.P.	Douglas Bosley	Douglas Bosley	General Counsel	2019-03-29
0001772178-19-000001	101	NP Sacramento MAP, LLC	Nathaniel Hagedorn	Nathaniel Hagedorn	Manager of NPD Management, LLC, It's Manager	2019-03-29
0000943663-19-000081	101	EnTrust Special Opportunities Fund II LP	/s/ Bruce Kahne	Bruce Kahne	Authorized Signatory	2019-03-29
0001601886-19-000002	101	BHBL, LLC	Brett D. Huckelbridge	Brett D. Huckelbridge	Manager of Steel Canyon Investments, LLC, Managing Member	2019-03-29
0001771743-19-000002	101	Invesco Fixed Income Trust PIMCO Intermediate Fund	/s/Leslie A. Schmidt	Leslie A. Schmidt	President	2019-03-01
0001772220-19-000003	101	Hazoor Select, LP	/s/ Harpreet Singh	Harpreet Singh	Manager of the GP of the Issuer	2019-03-27
0001772213-19-000002	101	LENTON INTERNATIONAL LLC	Marcus-Jerome II Lenton	Marcus-Jerome II Lenton	Managing Director	2019-03-29
0001635118-19-000001	101	JWBC, LLC	Michael Moroz	Michael Moroz	CFO	2019-03-29
0000943663-19-000080	101	ENTRUST GLOBAL ACTIVIST FUND SPC	/s/ Bruce Kahne	Bruce Kahne	Authorized Signatory	2019-03-29
0001772208-19-000001	101	Kent QOF LLC	Tomas Rosenthal	Tomas Rosenthal	Manager	2019-03-29
0001567619-19-007805	101	MacKay Municipal Strategic Opportunities Fund, LP	/s/ John M. Loffredo	John M. Loffredo	Executive Managing Director of MacKay Shields, LLC	2019-03-27
0001636745-19-000001	101	IMCS GROUP, INC.	/s/ Loraine Daugherty	Loraine Daugherty	Chief Executive Officer	2019-03-29
0001768220-19-000002	101	Slow Up, Inc.	/s/ Jeremiah Kreisberg	Jeremiah Kreisberg	President	2019-03-29
0000943663-19-000079	101	EnTrust Global Activist Fund LP	/s/ Bruce Kahne	Bruce Kahne	Authorized Signatory	2019-03-29
0000895345-19-000137	101	Caxton Dynamis (USA) LLC	/s/ Scott B Bernstein	Scott B. Bernstein	Managing Director of the Manager of the Issuer	2019-03-29
0001772085-19-000002	101	LYXOR SELECTIVE OPPORTUNITIES PROGRAM SPC - LYXSOP SEGREGATED PORTFOLIO 3	/s/ David I. Held	David Held	Chief Compliance Officer	2019-03-29
0001772244-19-000002	101	INVESCO FIXED INCOME TRUST - BLACKROCK CORE FIXED INCOME FUND	/s/Leslie A. Schmidt	Leslie A. Schmidt	President	2019-03-01
0001772017-19-000001	101	Novo Platform Inc.	/s/ Michael Rangel	Michael Rangel	Chief Executive Officer	2019-03-29
0001770971-19-000002	101	BLUE SEA CAPITAL FUND II LP	/S/ RICHARD J. WANDOFF	RICHARD J. WANDOFF	MANAGER OF THE GP OF THE GP OF THE ISSUER	2019-03-15
0001748316-19-000054	101	US Core Fixed Income Fund, a series of 525 Market Street Fund, LLC	/s/ Siobhan C. Foy	Siobhan C. Foy	Chief Compliance Officer	2019-03-26
0001748316-19-000053	101	Small Cap Value (Tax-Advantaged) LLC	/s/ Siobhan C. Foy	Siobhan C. Foy	Chief Compliance Officer	2019-03-26
0001533177-19-000002	101	Navigating Cancer, Inc.	/s/ William Bunker	William Bunker	CEO	2019-03-28
0001748316-19-000052	101	International Bond Fund, a series of 525 Market Street Fund, LLC	/s/ Siobhan C. Foy	Siobhan C. Foy	Chief Compliance Officer	2019-03-26
0001748316-19-000051	101	High Yield Bond Fund, a series of 525 Market Street Fund, LLC	/s/ Siobhan C. Foy	Siobhan C. Foy	Chief Compliance Officer	2019-03-26
0001748316-19-000050	101	Global Tactical Asset Allocation Fund, a series of 525 Market Street Fund, LLC	/s/ Siobhan C. Foy	Siobhan C. Foy	Chief Compliance Officer	2019-03-26
0001638264-19-000001	101	CYPRESS VENTURE CAPITAL FUND, L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0000919574-19-002648	101	Gratia Capital Concentrated Fund, Ltd.	/s/ Seth Berman	Seth Berman	Authorized Person	2019-03-29
0001638178-19-000001	101	CYPRESS TECHNOLOGY PARTNERS, L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0001772247-19-000001	101	Accolade Partners C, L.P.	JOELLE M. KAYDEN	JOELLE M. KAYDEN	MANAGING MEMBER OF THE GENERAL PARTNER	2019-03-29
0001603975-19-000001	101	CYPRESS STRUCTURED CREDIT, L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0000943663-19-000078	101	EnTrust Diversified Select Credit Fund Ltd.	/s/ Bruce Kahne	Bruce Kahne	Authorized Signatory	2019-03-29
0001772109-19-000001	101	PCM Parallel Fund I, L.P.	/s/ Michael Murray	Michael Murray	Managing Partner	2019-03-29
0001479629-19-000001	101	Cypress Real Estate II L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0001573175-19-000001	101	CYPRESS REAL ESTATE OPPORTUNITY FUND 2012, L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0001663773-19-000001	101	Cypress Real Estate Income Fund 2015, L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0001573176-19-000001	101	CYPRESS REAL ESTATE INCOME FUND 2012, L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0001546615-19-000001	101	Cypress Real Estate Funds II, L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0001465495-19-000001	101	CYPRESS REAL ESTATE FUNDS, LP	James Longinotti	James Longinotti	CCO	2019-03-29
0001144204-19-016857	102	HPT VII US LP	/s/ Ashley Vardon	Ashley Vardon	Director of General Partner	2019-03-28
0001144204-19-016857	101	Hollyport Secondary Opportunities VII LP	/s/ Ashley Vardon	Ashley Vardon	Director of General Partner	2019-03-28
0001672907-19-000001	101	Cypress Natural Resources Investment Funds V, L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0001479628-19-000001	101	Cypress Natural Resources Investment Funds, L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0001573179-19-000001	101	CYPRESS INVESTMENT FUNDS II, L.P.	James Longinotti	James Longinotti	CCO	2019-03-29
0001748316-19-000049	101	Fundamental Small Cap Growth Fund, a series of 525 Market Street Fund, LLC	/s/ Siobhan C. Foy	Siobhan C. Foy	Chief Compliance Officer	2019-03-26
0001465530-19-000001	101	Cypress Investment Funds, LP	James Longinotti	James Longinotti	CCO	2019-03-29
0001748316-19-000048	101	Floating Rate Loan Fund, a series of 525 Market Street Fund, LLC	/s/ Siobhan C. Foy	Siobhan C. Foy	Chief Compliance Officer	2019-03-26
0001771352-19-000001	101	Virtua Austin Residential Holdings I, LLC	Wade Mains	Wade Mains	Manager of Manager of Issuer	2019-03-27
0000943663-19-000077	101	EnTrust Diversified Select Credit Fund L.P.	/s/ Bruce Kahne	Bruce Kahne	Authorized Signatory	2019-03-29
0001356812-19-000001	101	CYPRESS INT'L EQUITY FUND, L P	James Longinotti	James Longinotti	CCO	2019-03-29
0001567619-19-007802	101	U.S. REAL ESTATE INCOME & GROWTH DOMESTIC, LP	/s/Christian P. Porwoll	Christian P. Porwoll	Authorized Signatory of I&G Manager, LLC, General Partner	2019-03-29
0001748316-19-000047	101	Emerging Markets Large/Mid Cap Fund, a series of 525 Market Street Fund, LLC	/s/ Siobhan C. Foy	Siobhan C. Foy	Chief Compliance Officer	2019-03-26
0001465531-19-000001	101	Cypress Hedge Funds,LP	James Longinotti	James Longinotti	CCO	2019-03-29
0001748316-19-000046	101	Emerging Markets Equity Income Fund, a series of 525 Market Street Fund, LLC	/s/ Siobhan C. Foy	Siobhan C. Foy	Chief Compliance Officer	2019-03-26
0001748316-19-000045	101	Emerging Markets Equity Fund, a series of 525 Market Street Fund, LLC	/s/ Siobhan C. Foy	Siobhan C. Foy	Chief Compliance Officer	2019-03-26
0001748316-19-000044	101	Closed-End International Equity Fund, a series of 525 Market Street Fund, LLC	/s/ Siobhan C. Foy	Siobhan C. Foy	Chief Compliance Officer	2019-03-26
0000902664-19-001713	101	Squarepoint Core US Feeder LP	/s/ Antoine Fillet	Antoine Fillet	Managing Member of the General Partner	2019-03-29
0001012975-19-000252	101	Almanac Realty Securities VIII (Parallel), L.P.	/s/ Jennifer Cattier	Jennifer Cattier	General Consel and CCO of the General Partner	2019-03-29
0001748316-19-000043	101	Closed-End Bond Fund, a series of 525 Market Street Fund, LLC	/s/ Siobhan C. Foy	Siobhan C. Foy	Chief Compliance Officer	2019-03-26
0000941031-19-000006	101	GRAHAM ALTERNATIVE INVESTMENT FUND II LLC	Timothy Sperry	TIMOTHY SPERRY	CCO, GRAHAM CAPITAL MANAGEMENT, LP, AS MANAGER	2019-03-29
